objectid,filename,title,creator,description,subject,type,format,rights,rightsstatement
gsd01,GSD01.jpg,Who's the boss?,unknown,German Shepherd puppy in suit,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd02,GSD02.jpg,Always be yourself! (bat dog),unknown,German Shepherd puppy dressed as a bumble bee,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd03,GSD03.jpg,I'm Miss Bumble,unknown,German Shepherd puppy in batman outfit,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd04,GSD04.jpg,I'm yoda,unknown,German Shepherd puppy in yoda outfit,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd05,GSD05.jpg,What a superman!,unknown,German Shepherd puppy dressed as superman,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd06,GSD06.jpg,The prettiest princess,unknown,German Shepherd puppy dressed as a princess,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd07,GSD07.jpg,Lion king,unknown,German Shepherd puppy dressed as Lion King,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd08,GSD08.jpg,Chef,unknown,German Shepherd puppy dressed as a chef,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd09,GSD09.jpeg,Adorable R2D2,unknown,German Shepherd puppy dressed as R2D2,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
gsd10,GSD10.jpg,Boo! - Happy Halloween,unknown,German Shepherd puppy dressed as a ghost carrying a pumpkin candy jar,German Shepherd Dog,Image;StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
